Assertion	Heuristic	Prediction	Actual
(isa ArthurFBurns Chairman-HeadOfGovernment)	CateMembMine	1	-1
(established YsgolBrynAlyn (YearFn '1958))	InfoRelaMine	1	-1
(publisher Doom-TheGame ValveSoftware)	InfoRelaMine	1	-1
(isa Ester (CitizenFn Germany))	CateMembMine	0	-1
(isa PeterPek PublicSpeaking)	FirsSentParsMine	0	0
(birthDate ArthurFBurns (MonthFn August (YearFn '27)))	InfoRelaMine	1	-1
(isa PeterPek MalaysianPerson)	CateMembMine	1	-1
(isa PeterPek FamousHuman)	CateMembMine	1	-1
(isa PrincessJohannaOfHesseAndByRhine Daughter)	FirsSentParsMine	0	-1
(isa NabilElderkin MusicVideoCopy)	FirsSentParsMine	0	-1
(genls PeterPek ComputerPrintingHardcopy)	CateMembMine	0	-1
(computingMedia Doom-TheGame VideoGameCartridge)	DBPediAligMine	1	-1
(isa PeterPek BrandManagement)	CateMembMine	0	0
(isa BankOfCreditAndCommerceInternational MakingABankDeposit)	FirsSentParsMine	1	-1
(profession ArthurFBurns (InstanceNamedFn-Ternary "U.S. Ambassador" PersonTypeByOccupation "cca749c8-17af-41d9-96ac-c3dc7f69b07f"))	InfoRelaMine	1	-1
(isa ArthurFBurns Chairman)	CateMembMine	1	0
(isa ArthurFBurns JewishPerson)	CateMembMine	1	1
(populationTotal RockwoodTennessee '5774)	InfoRelaMine	1	-1
(country CodeOfVengeance UnitedStatesAtTheOlympics)	InfoRelaMine	1	-1
(related CodeOfVengeance KnightRider-TheTVShow)	InfoRelaMine	1	-1
(postalCode RockwoodTennessee (YearFn '37854))	DBPediAligMine	1	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" SouthDakota-State))	InfoRelaMine	1	-1
(isa Tongue-twister Game)	CateMembMine	1	-1
(isa GaloisModule G-MusicalNote)	FirsSentParsMine	0	-1
(genls BankOfCreditAndCommerceInternational Bank-Topographical)	FirsSentParsMine	0	-1
(genls PeterPek Editor)	CateMembMine	0	-1
(genls ArthurFBurns UnitedStatesPerson)	CateMembMine	0	-1
(isa PeterPek AudioSpeaker)	FirsSentParsMine	0	-1
(genls PeterPek (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	0	-1
(isa BrianFlemming (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	1	-1
(areaWater RockwoodTennessee '100000.0)	DBPediAligMine	1	-1
(genls PeterPek ChinesePerson)	CateMembMine	0	-1
